충전소명,충전일,충전시작시간,충전종료시간,충전일자,충전시간,요일,주말
어린이대공원 후문주차장,2021-10-01,2021-10-01 12:34:18,2021-10-01 12:50:18,2021-10-01,16.0,4,0
어린이대공원 후문주차장,2021-10-01,2021-10-01 10:25:57,2021-10-01 11:06:04,2021-10-01,40.0,4,0
어린이대공원 후문주차장,2021-10-01,2021-10-01 08:55:47,2021-10-01 09:15:05,2021-10-01,19.0,4,0
어린이대공원 후문주차장,2021-10-01,2021-10-01 00:00:32,2021-10-01 00:35:31,2021-10-01,34.0,4,0
어린이대공원 후문주차장,2021-09-30,2021-09-30 21:21:19,2021-09-30 21:41:52,2021-09-30,20.0,3,0
어린이대공원 후문주차장,2021-09-30,2021-09-30 20:34:07,2021-09-30 21:14:11,2021-09-30,40.0,3,0
어린이대공원 후문주차장,2021-09-30,2021-09-30 18:47:23,2021-09-30 19:27:29,2021-09-30,40.0,3,0
어린이대공원 후문주차장,2021-09-30,2021-09-30 16:56:38,2021-09-30 17:12:24,2021-09-30,15.0,3,0
어린이대공원 후문주차장,2021-09-30,2021-09-30 15:27:18,2021-09-30 15:51:52,2021-09-30,24.0,3,0
어린이대공원 후문주차장,2021-09-30,2021-09-30 01:16:57,2021-09-30 01:53:35,2021-09-30,36.0,3,0
어린이대공원 후문주차장,2021-09-30,2021-09-30 00:43:03,2021-09-30 01:10:39,2021-09-30,27.0,3,0
어린이대공원 후문주차장,2021-09-29,2021-09-29 22:49:32,2021-09-29 23:15:02,2021-09-29,25.0,2,0
어린이대공원 후문주차장,2021-09-29,2021-09-29 17:08:35,2021-09-29 17:44:27,2021-09-29,35.0,2,0
어린이대공원 후문주차장,2021-09-29,2021-09-29 16:27:18,2021-09-29 17:07:23,2021-09-29,40.0,2,0
어린이대공원 후문주차장,2021-09-29,2021-09-29 13:30:45,2021-09-29 13:40:26,2021-09-29,9.0,2,0
어린이대공원 후문주차장,2021-09-29,2021-09-29 12:32:41,2021-09-29 13:12:47,2021-09-29,40.0,2,0
어린이대공원 후문주차장,2021-09-28,2021-09-28 16:50:02,2021-09-28 17:22:34,2021-09-28,32.0,1,0
어린이대공원 후문주차장,2021-09-28,2021-09-28 16:06:52,2021-09-28 16:46:57,2021-09-28,40.0,1,0
어린이대공원 후문주차장,2021-09-28,2021-09-28 12:38:55,2021-09-28 13:18:52,2021-09-28,39.0,1,0
어린이대공원 후문주차장,2021-09-28,2021-09-28 11:46:48,2021-09-28 12:26:53,2021-09-28,40.0,1,0
어린이대공원 후문주차장,2021-09-28,2021-09-28 06:27:51,2021-09-28 07:07:57,2021-09-28,40.0,1,0
어린이대공원 후문주차장,2021-09-28,2021-09-28 01:22:03,2021-09-28 01:30:42,2021-09-28,8.0,1,0
