충전소명,충전일,충전시작시간,충전종료시간,충전일자,충전시간,요일,주말
중랑구청,2021-10-01,2021-10-01 17:20:42,2021-10-01 17:31:02,2021-10-01,10.0,4,0
중랑구청,2021-10-01,2021-10-01 16:51:19,2021-10-01 18:14:03,2021-10-01,82.0,4,0
중랑구청,2021-10-01,2021-10-01 16:26:42,2021-10-01 16:49:30,2021-10-01,22.0,4,0
중랑구청,2021-10-01,2021-10-01 06:36:37,2021-10-01 07:58:41,2021-10-01,82.0,4,0
중랑구청,2021-10-01,2021-10-01 02:34:44,2021-10-01 02:58:17,2021-10-01,23.0,4,0
중랑구청,2021-10-01,2021-10-01 01:39:15,2021-10-01 02:29:27,2021-10-01,50.0,4,0
중랑구청,2021-09-30,2021-09-30 18:20:50,2021-09-30 18:36:48,2021-09-30,15.0,3,0
중랑구청,2021-09-30,2021-09-30 17:56:29,2021-09-30 18:16:04,2021-09-30,19.0,3,0
중랑구청,2021-09-30,2021-09-30 16:04:13,2021-09-30 16:52:46,2021-09-30,48.0,3,0
중랑구청,2021-09-30,2021-09-30 14:19:11,2021-09-30 14:57:49,2021-09-30,38.0,3,0
중랑구청,2021-09-30,2021-09-30 13:43:44,2021-09-30 14:00:02,2021-09-30,16.0,3,0
중랑구청,2021-09-30,2021-09-30 11:53:26,2021-09-30 12:50:56,2021-09-30,57.0,3,0
중랑구청,2021-09-30,2021-09-30 01:18:20,2021-09-30 01:32:05,2021-09-30,13.0,3,0
중랑구청,2021-09-30,2021-09-30 01:07:57,2021-09-30 01:17:04,2021-09-30,9.0,3,0
중랑구청,2021-09-30,2021-09-30 00:14:54,2021-09-30 01:16:23,2021-09-30,61.0,3,0
중랑구청,2021-09-29,2021-09-29 22:18:09,2021-09-29 23:21:19,2021-09-29,63.0,2,0
중랑구청,2021-09-29,2021-09-29 21:56:45,2021-09-29 22:08:42,2021-09-29,11.0,2,0
중랑구청,2021-09-29,2021-09-29 21:11:51,2021-09-29 22:08:13,2021-09-29,56.0,2,0
중랑구청,2021-09-29,2021-09-29 16:37:27,2021-09-29 16:43:30,2021-09-29,6.0,2,0
중랑구청,2021-09-28,2021-09-28 23:03:07,2021-09-28 23:54:12,2021-09-28,51.0,1,0
중랑구청,2021-09-28,2021-09-28 19:09:48,2021-09-28 19:36:11,2021-09-28,26.0,1,0
중랑구청,2021-09-28,2021-09-28 18:47:29,2021-09-28 19:07:37,2021-09-28,20.0,1,0
중랑구청,2021-09-28,2021-09-28 18:29:44,2021-09-28 19:35:26,2021-09-28,65.0,1,0
중랑구청,2021-09-28,2021-09-28 16:46:31,2021-09-28 18:16:39,2021-09-28,90.0,1,0
중랑구청,2021-09-28,2021-09-28 16:29:58,2021-09-28 17:32:25,2021-09-28,62.0,1,0
중랑구청,2021-09-27,2021-09-27 22:17:02,2021-09-27 23:25:02,2021-09-27,68.0,0,0
중랑구청,2021-09-27,2021-09-27 14:07:06,2021-09-27 15:10:46,2021-09-27,63.0,0,0
