충전소명,충전일,충전시작시간,충전종료시간,충전일자,충전시간,요일,주말
홍제1동 공용주차장,2021-10-04,2021-10-04 07:09:32,2021-10-04 08:09:27,2021-10-04,59.0,0,0
홍제1동 공용주차장,2021-10-04,2021-10-04 01:58:38,2021-10-04 02:22:12,2021-10-04,23.0,0,0
홍제1동 공용주차장,2021-10-03,2021-10-03 18:54:52,2021-10-03 19:40:10,2021-10-03,45.0,6,1
홍제1동 공용주차장,2021-10-03,2021-10-03 14:34:30,2021-10-03 15:14:51,2021-10-03,40.0,6,1
홍제1동 공용주차장,2021-10-03,2021-10-03 08:55:18,2021-10-03 09:29:41,2021-10-03,34.0,6,1
홍제1동 공용주차장,2021-10-03,2021-10-03 07:17:16,2021-10-03 08:07:33,2021-10-03,50.0,6,1
홍제1동 공용주차장,2021-10-03,2021-10-03 01:45:06,2021-10-03 02:36:08,2021-10-03,51.0,6,1
홍제1동 공용주차장,2021-10-02,2021-10-02 20:31:49,2021-10-02 20:53:23,2021-10-02,21.0,5,1
홍제1동 공용주차장,2021-10-02,2021-10-02 18:49:09,2021-10-02 19:27:26,2021-10-02,38.0,5,1
홍제1동 공용주차장,2021-10-02,2021-10-02 17:04:05,2021-10-02 17:46:48,2021-10-02,42.0,5,1
홍제1동 공용주차장,2021-10-02,2021-10-02 15:32:44,2021-10-02 16:53:34,2021-10-02,80.0,5,1
홍제1동 공용주차장,2021-10-02,2021-10-02 08:40:56,2021-10-02 09:20:48,2021-10-02,39.0,5,1
홍제1동 공용주차장,2021-10-02,2021-10-02 06:48:03,2021-10-02 08:05:38,2021-10-02,77.0,5,1
홍제1동 공용주차장,2021-10-01,2021-10-01 22:44:50,2021-10-01 23:00:22,2021-10-01,15.0,4,0
홍제1동 공용주차장,2021-10-01,2021-10-01 21:02:00,2021-10-01 22:18:03,2021-10-01,76.0,4,0
홍제1동 공용주차장,2021-10-01,2021-10-01 20:28:24,2021-10-01 20:53:25,2021-10-01,25.0,4,0
홍제1동 공용주차장,2021-10-01,2021-10-01 16:08:00,2021-10-01 16:57:03,2021-10-01,49.0,4,0
홍제1동 공용주차장,2021-10-01,2021-10-01 12:15:50,2021-10-01 12:51:56,2021-10-01,36.0,4,0
홍제1동 공용주차장,2021-10-01,2021-10-01 11:25:38,2021-10-01 12:13:09,2021-10-01,47.0,4,0
홍제1동 공용주차장,2021-10-01,2021-10-01 11:11:04,2021-10-01 12:41:09,2021-10-01,90.0,4,0
홍제1동 공용주차장,2021-10-01,2021-10-01 08:13:03,2021-10-01 09:32:46,2021-10-01,79.0,4,0
홍제1동 공용주차장,2021-10-01,2021-10-01 07:41:16,2021-10-01 08:58:51,2021-10-01,77.0,4,0
홍제1동 공용주차장,2021-09-30,2021-09-30 22:26:07,2021-09-30 22:42:33,2021-09-30,16.0,3,0
홍제1동 공용주차장,2021-09-30,2021-09-30 20:27:52,2021-09-30 21:12:35,2021-09-30,44.0,3,0
홍제1동 공용주차장,2021-09-30,2021-09-30 13:04:41,2021-09-30 14:22:27,2021-09-30,77.0,3,0
홍제1동 공용주차장,2021-09-30,2021-09-30 12:34:17,2021-09-30 13:43:35,2021-09-30,69.0,3,0
홍제1동 공용주차장,2021-09-30,2021-09-30 10:53:19,2021-09-30 11:09:21,2021-09-30,16.0,3,0
홍제1동 공용주차장,2021-09-30,2021-09-30 07:41:03,2021-09-30 08:00:42,2021-09-30,19.0,3,0
홍제1동 공용주차장,2021-09-30,2021-09-30 05:43:34,2021-09-30 06:55:01,2021-09-30,71.0,3,0
홍제1동 공용주차장,2021-09-29,2021-09-29 20:47:42,2021-09-29 22:01:47,2021-09-29,74.0,2,0
홍제1동 공용주차장,2021-09-29,2021-09-29 14:29:19,2021-09-29 15:10:22,2021-09-29,41.0,2,0
홍제1동 공용주차장,2021-09-29,2021-09-29 14:21:12,2021-09-29 15:32:34,2021-09-29,71.0,2,0
홍제1동 공용주차장,2021-09-29,2021-09-29 08:20:01,2021-09-29 09:27:23,2021-09-29,67.0,2,0
홍제1동 공용주차장,2021-09-29,2021-09-29 06:43:27,2021-09-29 08:08:49,2021-09-29,85.0,2,0
홍제1동 공용주차장,2021-09-28,2021-09-28 20:54:24,2021-09-28 21:30:42,2021-09-28,36.0,1,0
홍제1동 공용주차장,2021-09-28,2021-09-28 19:19:56,2021-09-28 20:00:45,2021-09-28,40.0,1,0
홍제1동 공용주차장,2021-09-28,2021-09-28 19:07:08,2021-09-28 19:34:35,2021-09-28,27.0,1,0
홍제1동 공용주차장,2021-09-28,2021-09-28 12:32:30,2021-09-28 13:34:40,2021-09-28,62.0,1,0
홍제1동 공용주차장,2021-09-28,2021-09-28 06:46:26,2021-09-28 07:34:53,2021-09-28,48.0,1,0
